ingredient,unit,quantity_on_hand,unit_cost
chicken thigh,lb,48.0000,3.2500
chicken wings,lb,32.0000,2.8500
brioche bun,each,240.0000,0.5500
pickles,gal,3.5000,12.0000
honey,lb,6.0000,4.7500
buttermilk,gal,4.0000,6.4000
all-purpose flour,lb,50.0000,0.6200
hot sauce,gal,2.0000,18.5000
ground beef,lb,36.0000,5.1000
cheddar cheese,lb,18.0000,4.9500
smoked brisket,lb,22.0000,9.8000
waffle fries,lb,60.0000,1.4500
sweet corn,lb,25.0000,1.2000
cotija cheese,lb,8.0000,6.2500
kale,lb,12.0000,2.3000
matcha powder,oz,16.0000,3.9000
oat milk,gal,5.0000,7.2500
cold brew concentrate,gal,3.0000,22.0000
butter,lb,20.0000,4.4000
chocolate chips,lb,9.0000,5.6000
