menu_item,sold_at,quantity,revenue,channel
Crispy Chicken Sandwich,2026-08-13T11:152:00-05:00,26,351.00,online
Crispy Chicken Sandwich,2026-08-13T18:118:00-05:00,29,391.50,in_store
Nashville Hot Chicken Sandwich,2026-08-13T11:66:00-05:00,13,185.25,online
Nashville Hot Chicken Sandwich,2026-08-13T18:144:00-05:00,19,270.75,in_store
Buttermilk Fried Chicken Tenders,2026-08-13T11:101:00-05:00,11,129.25,in_store
Buttermilk Fried Chicken Tenders,2026-08-13T18:133:00-05:00,14,164.50,in_store
Classic Cheeseburger,2026-08-13T11:151:00-05:00,17,212.50,in_store
Classic Cheeseburger,2026-08-13T18:48:00-05:00,16,200.00,in_store
Smoked Brisket Sandwich,2026-08-13T11:19:00-05:00,7,112.00,online
Smoked Brisket Sandwich,2026-08-13T18:28:00-05:00,9,144.00,in_store
Loaded Waffle Fries,2026-08-13T11:04:00-05:00,13,107.25,online
Loaded Waffle Fries,2026-08-13T18:150:00-05:00,23,189.75,in_store
Buffalo Wings (8 pc),2026-08-13T11:88:00-05:00,12,156.00,in_store
Buffalo Wings (8 pc),2026-08-13T18:60:00-05:00,14,182.00,in_store
Street Corn Elote Cup,2026-08-13T11:07:00-05:00,6,39.00,doordash
Street Corn Elote Cup,2026-08-13T18:67:00-05:00,9,58.50,in_store
Kale Caesar Salad,2026-08-13T11:150:00-05:00,7,73.50,in_store
Kale Caesar Salad,2026-08-13T18:158:00-05:00,8,84.00,doordash
Matcha Latte,2026-08-13T11:84:00-05:00,10,57.50,in_store
Matcha Latte,2026-08-13T18:03:00-05:00,9,51.75,doordash
Horchata Cold Brew,2026-08-13T11:44:00-05:00,6,31.50,doordash
Horchata Cold Brew,2026-08-13T18:04:00-05:00,7,36.75,in_store
Brown Butter Chocolate Chip Cookie,2026-08-13T11:07:00-05:00,10,37.50,in_store
Brown Butter Chocolate Chip Cookie,2026-08-13T18:115:00-05:00,16,60.00,in_store
Crispy Chicken Sandwich,2026-08-14T11:93:00-05:00,29,391.50,in_store
Crispy Chicken Sandwich,2026-08-14T18:06:00-05:00,28,378.00,in_store
Nashville Hot Chicken Sandwich,2026-08-14T11:143:00-05:00,20,285.00,doordash
Nashville Hot Chicken Sandwich,2026-08-14T18:103:00-05:00,22,313.50,in_store
Buttermilk Fried Chicken Tenders,2026-08-14T11:57:00-05:00,13,152.75,online
Buttermilk Fried Chicken Tenders,2026-08-14T18:158:00-05:00,20,235.00,in_store
Classic Cheeseburger,2026-08-14T11:44:00-05:00,17,212.50,in_store
Classic Cheeseburger,2026-08-14T18:140:00-05:00,27,337.50,in_store
Smoked Brisket Sandwich,2026-08-14T11:20:00-05:00,9,144.00,in_store
Smoked Brisket Sandwich,2026-08-14T18:165:00-05:00,16,256.00,in_store
Loaded Waffle Fries,2026-08-14T11:02:00-05:00,17,140.25,online
Loaded Waffle Fries,2026-08-14T18:41:00-05:00,23,189.75,in_store
Buffalo Wings (8 pc),2026-08-14T11:133:00-05:00,17,221.00,in_store
Buffalo Wings (8 pc),2026-08-14T18:12:00-05:00,15,195.00,ubereats
Street Corn Elote Cup,2026-08-14T11:156:00-05:00,12,78.00,doordash
Street Corn Elote Cup,2026-08-14T18:150:00-05:00,14,91.00,in_store
Kale Caesar Salad,2026-08-14T11:29:00-05:00,6,63.00,doordash
Kale Caesar Salad,2026-08-14T18:147:00-05:00,11,115.50,in_store
Matcha Latte,2026-08-14T11:71:00-05:00,12,69.00,online
Matcha Latte,2026-08-14T18:10:00-05:00,12,69.00,in_store
Horchata Cold Brew,2026-08-14T11:91:00-05:00,9,47.25,online
Horchata Cold Brew,2026-08-14T18:79:00-05:00,11,57.75,ubereats
Brown Butter Chocolate Chip Cookie,2026-08-14T11:97:00-05:00,17,63.75,in_store
Brown Butter Chocolate Chip Cookie,2026-08-14T18:138:00-05:00,22,82.50,in_store
Crispy Chicken Sandwich,2026-08-15T11:158:00-05:00,36,486.00,in_store
Crispy Chicken Sandwich,2026-08-15T18:73:00-05:00,36,486.00,ubereats
Nashville Hot Chicken Sandwich,2026-08-15T11:52:00-05:00,17,242.25,in_store
Nashville Hot Chicken Sandwich,2026-08-15T18:56:00-05:00,21,299.25,in_store
Buttermilk Fried Chicken Tenders,2026-08-15T11:04:00-05:00,11,129.25,in_store
Buttermilk Fried Chicken Tenders,2026-08-15T18:151:00-05:00,21,246.75,ubereats
Classic Cheeseburger,2026-08-15T11:117:00-05:00,22,275.00,in_store
Classic Cheeseburger,2026-08-15T18:01:00-05:00,19,237.50,doordash
Smoked Brisket Sandwich,2026-08-15T11:139:00-05:00,13,208.00,doordash
Smoked Brisket Sandwich,2026-08-15T18:68:00-05:00,14,224.00,in_store
Loaded Waffle Fries,2026-08-15T11:26:00-05:00,19,156.75,in_store
Loaded Waffle Fries,2026-08-15T18:154:00-05:00,32,264.00,doordash
Buffalo Wings (8 pc),2026-08-15T11:97:00-05:00,17,221.00,in_store
Buffalo Wings (8 pc),2026-08-15T18:37:00-05:00,17,221.00,in_store
Street Corn Elote Cup,2026-08-15T11:74:00-05:00,10,65.00,in_store
Street Corn Elote Cup,2026-08-15T18:166:00-05:00,15,97.50,in_store
Kale Caesar Salad,2026-08-15T11:87:00-05:00,8,84.00,doordash
Kale Caesar Salad,2026-08-15T18:107:00-05:00,10,105.00,doordash
Matcha Latte,2026-08-15T11:42:00-05:00,12,69.00,in_store
Matcha Latte,2026-08-15T18:96:00-05:00,16,92.00,doordash
Horchata Cold Brew,2026-08-15T11:37:00-05:00,9,47.25,in_store
Horchata Cold Brew,2026-08-15T18:128:00-05:00,13,68.25,in_store
Brown Butter Chocolate Chip Cookie,2026-08-15T11:20:00-05:00,14,52.50,in_store
Brown Butter Chocolate Chip Cookie,2026-08-15T18:141:00-05:00,24,90.00,in_store
Crispy Chicken Sandwich,2026-08-16T11:120:00-05:00,23,310.50,in_store
Crispy Chicken Sandwich,2026-08-16T18:114:00-05:00,28,378.00,in_store
Nashville Hot Chicken Sandwich,2026-08-16T11:54:00-05:00,12,171.00,in_store
Nashville Hot Chicken Sandwich,2026-08-16T18:136:00-05:00,18,256.50,in_store
Buttermilk Fried Chicken Tenders,2026-08-16T11:120:00-05:00,11,129.25,in_store
Buttermilk Fried Chicken Tenders,2026-08-16T18:78:00-05:00,12,141.00,in_store
Classic Cheeseburger,2026-08-16T11:08:00-05:00,11,137.50,in_store
Classic Cheeseburger,2026-08-16T18:01:00-05:00,14,175.00,online
Smoked Brisket Sandwich,2026-08-16T11:169:00-05:00,10,160.00,in_store
Smoked Brisket Sandwich,2026-08-16T18:117:00-05:00,11,176.00,online
Loaded Waffle Fries,2026-08-16T11:122:00-05:00,17,140.25,in_store
Loaded Waffle Fries,2026-08-16T18:73:00-05:00,18,148.50,doordash
Buffalo Wings (8 pc),2026-08-16T11:150:00-05:00,13,169.00,doordash
Buffalo Wings (8 pc),2026-08-16T18:126:00-05:00,16,208.00,doordash
Street Corn Elote Cup,2026-08-16T11:95:00-05:00,8,52.00,in_store
Street Corn Elote Cup,2026-08-16T18:40:00-05:00,8,52.00,in_store
Kale Caesar Salad,2026-08-16T11:105:00-05:00,6,63.00,online
