line_item,monthly_amount
Food Sales,142000
Beverage Sales,38000
Food COGS,47500
Beverage COGS,8800
Hourly Labor - BOH,24000
Hourly Labor - FOH,14500
Salaried Management,11500
Payroll Taxes & Benefits,6200
Rent,14500
CAM & Property Tax,2300
Utilities,4200
Insurance,2100
Marketing & Advertising,3800
Repairs & Maintenance,2400
Smallwares & Supplies,1900
Credit Card Fees,4600
Accounting & Legal,1200
Other Operating Expenses,3100
Third-Party Delivery Commissions,7200
Cleaning & Sanitation,1800
POS & Software Subscriptions,1400
Linen & Uniforms,900
Pest Control,350
Training & Recruiting,800
Bank Fees,450
