ingredient,unit,quantity_on_hand,unit_cost
chicken thigh,lb,48,3.25
chicken wings,lb,32,2.85
brioche bun,each,240,0.55
pickles,gal,3.5,12.00
honey,lb,6,4.75
buttermilk,gal,4,6.40
all-purpose flour,lb,50,0.62
hot sauce,gal,2,18.50
ground beef,lb,36,5.10
cheddar cheese,lb,18,4.95
smoked brisket,lb,22,9.80
waffle fries,lb,60,1.45
sweet corn,lb,25,1.20
cotija cheese,lb,8,6.25
kale,lb,12,2.30
matcha powder,oz,16,3.90
oat milk,gal,5,7.25
cold brew concentrate,gal,3,22.00
butter,lb,20,4.40
chocolate chips,lb,9,5.60
